,location,total_sqft,bath,price,bhk
0,"Adyar, Chennai",3300.0,3,165.0,3
1,"Adyar, Chennai",1730.0,5,75.0,5
2,"Adyar, Chennai",1046.0,2,48.0,2
3,"Adyar, Chennai",1408.0,3,80.0,3
4,"Adyar, Chennai",1005.0,2,50.0,2
5,"Adyar, Chennai",1100.0,2,65.0,2
6,"Adyar, Chennai",1080.0,2,37.0,2
7,"Adyar, Chennai",1035.0,2,45.0,2
8,"Adyar, Chennai",5000.0,4,290.0,4
9,"Adyar, Chennai",1164.0,2,56.0,2
10,"Adyar, Chennai",1005.0,2,42.0,2
11,"Adyar, Chennai",1127.0,2,50.0,2
12,"Adyar, Chennai",1005.0,2,43.0,2
13,"Adyar, Chennai",835.0,2,37.0,2
14,"Adyar, Chennai",1050.0,2,39.0,2
15,"Adyar, Chennai",660.0,2,27.0,2
16,"Adyar, Chennai",600.0,1,20.0,1
17,"Adyar, Chennai",1466.0,2,71.0,2
18,"Adyar, Chennai",1890.0,2,93.0,3
19,"Adyar, Chennai",1079.0,2,60.0,2
20,"Adyar, Chennai",1480.0,2,80.0,2
21,"Adyar, Chennai",1200.0,2,80.0,2
22,"Adyar, Chennai",905.0,2,32.0,2
23,"Adyar, Chennai",1073.0,2,52.36,2
24,"Adyar, Chennai",1719.3,2,88.0,3
25,"Adyar, Chennai",1780.0,3,88.0,3
26,"Adyar, Chennai",1522.0,3,90.0,3
27,"Adyar, Chennai",890.0,2,45.0,2
28,"Adyar, Chennai",5000.0,4,300.0,4
29,"Adyar, Chennai",1050.0,2,35.0,2
30,"Adyar, Chennai",1331.95,2,69.0,2
31,"Adyar, Chennai",1100.0,2,45.0,2
32,"Adyar, Chennai",1028.0,2,42.0,2
33,"Adyar, Chennai",1199.0,2,65.0,2
34,"Adyar, Chennai",1080.0,2,55.0,2
35,"Adyar, Chennai",1123.0,2,64.0,2
36,"Adyar, Chennai",1308.0,2,60.0,2
37,"Adyar, Chennai",1005.0,2,55.0,2
38,"Adyar, Chennai",985.0,2,40.39,2
39,"Adyar, Chennai",2200.0,6,68.0,6
40,"Adyar, Chennai",765.0,2,30.0,1
41,"Adyar, Chennai",880.0,2,35.0,2
42,"Adyar, Chennai",795.0,2,32.54,2
43,"Adyar, Chennai",1005.0,2,39.59,2
44,"Adyar, Chennai",734.0,1,19.82,1
45,"Adyar, Chennai",1020.0,2,41.82,2
46,"Adyar, Chennai",985.0,2,40.39,2
47,"Adyar, Chennai",2500.0,6,81.0,6
48,"Adyar, Chennai",795.0,2,32.54,2
49,"Adyar, Chennai",1130.0,2,46.33,2
50,"Adyar, Chennai",795.0,1,32.6,2
51,"Adyar, Chennai",3000.0,8,150.0,8
52,"Adyar, Chennai",985.0,2,38.92,2
53,"Adyar, Chennai",1000.0,2,41.0,2
54,"Adyar, Chennai",995.0,2,40.8,2
55,"Adyar, Chennai",1020.0,2,40.8,2
56,"Adyar, Chennai",1388.0,2,57.0,2
57,"Adyar, Chennai",1070.0,2,54.0,2
58,"Adyar, Chennai",1280.0,2,58.0,2
59,"Adyar, Chennai",1662.0,3,85.1,3
60,"Adyar, Chennai",1897.0,3,120.0,3
61,"Adyar, Chennai",1410.0,2,75.0,3
62,"Adyar, Chennai",1360.0,2,85.0,3
63,"Adyar, Chennai",1410.0,2,80.0,3
64,"Adyar, Chennai",1662.0,3,85.0,3
